# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (G),Total velocity (m/s),Total acceleration (G),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (G),Reference length (mm),Reference area (m²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,3.9418,0,3.942,0,0,0,0,0,0.0344,40,-100,0.99902,89.5,0,0,0,298.41,31.912,0.0078331,3.6449e-5,NaN,292.08,NaN,0.014698,147496,14.459,7.5029e-9,0.61652,1.0248e-6,0.49559,8.9879e-4,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,27,5.7256e-4,89.5,0,NaN,5.25,845.56,334.48,0.01,0.0015711
0.01,0.0019328,0.38656,13.362,0.38658,13.363,1.6867e-5,0,1.6867e-5,0,0.0033735,0.11661,40,-100,0.99902,84.888,0,0,0,298.41,31.912,0.0078331,3.6449e-5,NaN,292.08,NaN,0.014372,144226,42.028,7.3349e-6,0.61925,0.0010478,0.49832,8.9852e-4,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4042e-6,27,5.7256e-4,89.5,0,NaN,5.25,845.56,334.48,0.01,0.001907
0.02,0.012353,1.6976,19.463,1.6977,19.464,1.078e-4,0,1.078e-4,0,0.014815,0.16985,40,-100,0.99902,69.543,0,0,0,298.23,31.727,0.0078279,3.6436e-5,NaN,291.97,NaN,0.014871,149225,59.846,4.1661e-4,0.61511,0.055594,0.49418,8.9893e-4,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9342e-5,27,5.7256e-4,89.5,0,NaN,5.2499,845.56,334.48,0.01,0.0021689
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.038878,3.6076,15.943,3.6077,15.944,3.3928e-4,0,3.3928e-4,0,0.031483,0.13914,40,-100,0.99902,51.176,0,0,0,298,31.504,0.0078216,3.642e-5,NaN,291.85,NaN,0.017393,174536,49.517,0.0028765,0.59672,0.28059,0.47578,9.012e-4,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1102e-5,27,5.7256e-4,89.5,0,NaN,5.2497,845.56,334.48,0.01,0.0023778
0.04,0.082776,5.1722,11.809,5.1724,11.809,7.2237e-4,0,7.2237e-4,0,0.045137,0.10305,40,-100,0.99902,40.206,0,0,0,297.74,31.242,0.0078142,3.6401e-5,NaN,291.71,NaN,0.020398,204696,37.404,0.0065813,0.57905,0.46674,0.45809,9.0436e-4,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.8928e-5,27,5.7256e-4,89.5,0,NaN,5.2495,845.55,334.48,0.01,0.0025743
0.05,0.14029,6.3312,9.2002,6.3314,9.2005,0.0012243,0,0.0012243,0,0.055251,0.080289,40,-100,0.99902,33.881,0,0,0,297.47,30.967,0.0078064,3.6381e-5,NaN,291.55,NaN,0.022935,230148,29.764,0.010105,0.56668,0.56688,0.4457,9.0743e-4,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.2132e-5,27,5.7256e-4,89.5,0,NaN,5.2491,845.55,334.48,0.01,0.0028461
0.06,0.20812,7.234,8.9633,7.2342,8.9636,0.0018162,0,0.0018162,0,0.06313,0.078221,40,-100,0.99902,30.65,0,0,0,297.24,30.744,0.0078001,3.6365e-5,NaN,291.43,NaN,0.025271,253590,29.054,0.013141,0.55682,0.60722,0.43582,9.1057e-4,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.2418e-5,27,5.7256e-4,89.5,0,NaN,5.2486,845.54,334.48,0.01,0.0030616
0.07,0.28485,8.1134,9.3082,8.1137,9.3085,0.0024859,0,0.0024859,0,0.070804,0.081231,40,-100,0.99902,28.04,0,0,0,297.07,30.571,0.0077952,3.6352e-5,NaN,291.33,NaN,0.027612,277080,30.045,0.016363,0.5481,0.63334,0.42709,9.1402e-4,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.2437e-5,27,5.7256e-4,89.5,0,NaN,5.2481,845.53,334.48,0.01,0.0032497
0.08,0.37055,9.0266,9.6534,9.027,9.6538,0.0032338,0,0.0032338,0,0.078774,0.084244,40,-100,0.99902,25.759,0,0,0,296.89,30.397,0.0077902,3.634e-5,NaN,291.23,NaN,0.030093,301968,31.036,0.019961,0.53989,0.65049,0.41885,9.1801e-4,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0284e-4,27,5.7256e-4,89.5,0,NaN,5.2476,845.52,334.48,0.01,0.003491
0.09,0.46555,9.9738,9.9716,9.9741,9.972,0.0040628,0,0.0040628,0,0.08704,0.087021,40,-100,0.99902,23.756,0,0,0,296.72,30.222,0.0077853,3.6327e-5,NaN,291.14,NaN,0.032706,328190,31.948,0.023941,0.53216,0.6605,0.4111,9.2259e-4,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1363e-4,27,5.7256e-4,89.5,0,NaN,5.247,845.51,334.48,0.01,0.0037882
0.1,0.57018,10.952,10.126,10.953,10.127,0.0049759,0,0.0049759,0,0.095578,0.088371,40,-100,0.99902,21.994,0,0,0,296.54,30.043,0.0077801,3.6314e-5,NaN,291.04,NaN,0.03544,355622,32.383,0.0283,0.52492,0.66494,0.40383,9.2779e-4,0.12016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2478e-4,27,5.7256e-4,89.5,0,NaN,5.2463,845.5,334.48,0.01,0.0040593
0.11,0.68467,11.946,10.254,11.946,10.255,0.005975,0,0.005975,0,0.10425,0.089488,40,-100,0.99902,20.237,0,0,0,296.35,29.852,0.0077747,3.6301e-5,NaN,290.93,NaN,0.038188,383196,32.738,0.03293,0.51836,0.66638,0.39724,9.3344e-4,0.12019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.361e-4,27,5.7256e-4,89.5,0,NaN,5.2455,845.49,334.48,0.01,0.0042918
0.12,0.80916,12.952,10.383,12.952,10.383,0.0070614,0,0.0070614,0,0.11303,0.090607,40,-100,0.99902,18.701,0,0,0,296.15,29.656,0.0077691,3.6286e-5,NaN,290.82,NaN,0.041003,411438,33.094,0.037819,0.51227,0.66385,0.39111,9.3966e-4,0.12022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4756e-4,27,5.7256e-4,89.5,0,NaN,5.2447,845.48,334.48,0.01,0.0045647
0.13,0.94377,13.971,10.511,13.971,10.511,0.0082362,0,0.0082362,0,0.12192,0.091727,40,-100,0.99902,17.348,0,0,0,295.96,29.459,0.0077635,3.6272e-5,NaN,290.71,NaN,0.04388,440296,33.45,0.042961,0.50659,0.65848,0.3854,9.4648e-4,0.12025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5917e-4,27,5.7256e-4,89.5,0,NaN,5.2439,845.46,334.48,0.01,0.0048666
0.14,1.0886,15.002,10.639,15.002,10.64,0.0095003,0,0.0095003,0,0.13092,0.092848,40,-100,0.99902,16.149,0,0,0,295.76,29.263,0.0077579,3.6258e-5,NaN,290.6,NaN,0.046814,469732,33.806,0.048311,0.5013,0.65059,0.38006,9.5392e-4,0.12028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7092e-4,27,5.7256e-4,89.5,0,NaN,5.2429,845.45,334.48,0.01,0.0051837
0.15,1.2439,16.046,10.768,16.046,10.768,0.010855,0,0.010855,0,0.14003,0.09397,40,-100,0.99902,15.081,0,0,0,295.56,29.067,0.0077522,3.6244e-5,NaN,290.49,NaN,0.049803,499713,34.161,0.053783,0.49634,0.63997,0.37505,9.6199e-4,0.12032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8281e-4,27,5.7256e-4,89.5,0,NaN,5.2419,845.43,334.48,0.01,0.0055254
0.16,1.4096,17.102,10.897,17.103,10.897,0.012301,0,0.012301,0,0.14925,0.095093,40,-100,0.99902,14.072,0,0,0,295.37,28.87,0.0077466,3.623e-5,NaN,290.38,NaN,0.052831,530090,34.517,0.059351,0.4917,0.6276,0.37037,9.7068e-4,0.12036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9485e-4,27,5.7256e-4,89.5,0,NaN,5.2408,845.42,334.47,0.01,0.0058405
0.17,1.586,18.171,11.025,18.172,11.026,0.013841,0,0.013841,0,0.15858,0.096218,40,-100,0.99902,13.164,0,0,0,295.17,28.674,0.007741,3.6216e-5,NaN,290.26,NaN,0.055911,560981,34.873,0.065092,0.48734,0.61458,0.36596,9.8005e-4,0.12041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0703e-4,27,5.7256e-4,89.5,0,NaN,5.2397,845.4,334.47,0.01,0.0061503
0.18,1.7731,19.253,11.154,19.254,11.155,0.015474,0,0.015474,0,0.16802,0.097343,40,-100,0.99902,12.344,0,0,0,294.98,28.478,0.0077353,3.6202e-5,NaN,290.15,NaN,0.05904,592367,35.229,0.071039,0.48323,0.60153,0.36179,9.9011e-4,0.12045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1935e-4,27,5.7256e-4,89.5,0,NaN,5.2385,845.38,334.47,0.01,0.0064713
0.19,1.9711,20.348,11.283,20.348,11.284,0.017202,0,0.017202,0,0.17757,0.098468,40,-100,0.99902,11.599,0,0,0,294.78,28.281,0.0077296,3.6188e-5,NaN,290.04,NaN,0.062217,624233,35.584,0.077222,0.47934,0.58883,0.35784,0.0010009,0.1205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3182e-4,27,5.7256e-4,89.5,0,NaN,5.2372,845.36,334.47,0.01,0.0068075
0.2,2.1801,21.455,11.412,21.455,11.413,0.019026,0,0.019026,0,0.18723,0.099595,40,-100,0.99902,10.92,0,0,0,294.58,28.085,0.007724,3.6173e-5,NaN,289.93,NaN,0.065441,656564,35.94,0.083665,0.47566,0.57666,0.35409,0.0010124,0.12056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4444e-4,27,5.7256e-4,89.5,0,NaN,5.2358,845.34,334.47,0.01,0.0071022
0.21,2.4003,22.574,11.513,22.575,11.514,0.020947,0,0.020947,0,0.197,0.10048,40,-100,0.99902,10.571,0,0,0,294.39,27.889,0.0077183,3.6159e-5,NaN,289.82,NaN,0.068773,689981,36.215,0.091058,0.47211,0.56829,0.35047,0.001025,0.12061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5719e-4,27,5.7256e-4,89.5,0,NaN,5.2344,845.32,334.47,0.01,0.0074081
# Event LAUNCHROD occurred at t=0.22 seconds
0.22,2.6316,23.704,11.558,23.705,11.558,0.022966,0,0.022966,0,0.20686,0.0080721,40,-100,0.99902,10.249,0,0,0,294.18,27.686,0.0077125,3.6145e-5,296.34,289.7,0.24596,0.072136,723713,36.349,0.098799,0.46875,0.56046,0.34703,0.0010383,0.12068,1.6567,0.4078,2.5122e-4,0,0,0,0,0,2.7006e-4,27,5.7256e-4,89.5,0,NaN,5.2329,845.29,334.47,0.015,0.0078374
0.235,3,25.406,11.627,25.407,11.627,0.026075,0,0.026075,4.888e-6,0.20754,0.001682,40,-100,0.99902,9.7839,0,0.23605,6.7366e-5,293.92,27.422,0.0077048,3.6126e-5,296.79,289.55,0.2679,0.077201,774499,36.542,0.11091,0.46407,0.54933,0.34223,0.0010595,0.12077,1.5503,0.41552,-8.6736e-5,0,0,0,0,2.6036e-6,2.8946e-4,27,5.7256e-4,89.498,-1.1649e-5,NaN,5.2305,845.26,334.47,0.0225,0.0081563
0.2575,3.6005,27.977,11.732,27.978,11.732,0.030741,1.3189e-8,0.030741,2.4582e-5,0.20704,0.0027338,40,-100,0.99902,8.9736,0,0.66247,4.5007e-5,293.52,27.024,0.0076933,3.6097e-5,297.61,289.33,0.30668,0.084806,850744,36.832,0.12964,0.45777,0.53217,0.33574,0.0010942,0.12093,1.3719,0.42046,-6.2628e-7,0,0,0,0,1.6993e-5,3.1874e-4,27,5.7256e-4,89.488,-1.7829e-4,NaN,5.2266,845.2,334.47,0.03375,0.0084609
0.29125,4.6104,31.871,11.889,31.872,11.889,0.037727,4.3947e-8,0.037727,6.6741e-5,0.20741,0.0072065,40,-100,0.99902,7.4366,0,1.4557,-6.6762e-5,292.93,26.427,0.0076759,3.6054e-5,299.36,288.98,0.38425,0.096222,965187,37.263,0.1582,0.44965,0.50451,0.32729,0.0011524,0.1212,1.0576,0.40662,4.4674e-4,0,0,0,0,6.3736e-5,3.631e-4,27,5.7256e-4,89.453,-4.2663e-4,NaN,5.22,845.09,334.46,0.05,0.0087475
0.34125,6.3502,37.724,11.967,37.725,11.967,0.048228,1.3849e-7,0.048228,1.6453e-4,0.2136,0.019006,40,-100,0.99902,6.2931,0,2.9715,-0.0011307,292.04,25.539,0.0076499,3.599e-5,300.87,288.47,0.45933,0.11363,1139596,37.34,0.21002,0.43955,0.48038,0.31662,0.0012558,0.12168,0.84483,0.38805,-4.5182e-4,0,0,0,0,1.9046e-4,4.2978e-4,27,5.7256e-4,89.344,0.0026033,NaN,5.2087,844.92,334.46,0.05,0.0089994
0.39125,8.3834,43.605,11.826,43.605,11.826,0.05923,4.2784e-7,0.05923,4.1387e-4,0.22884,0.044741,40,-100,0.99902,5.5284,-4.2464e-7,4.9573,-5.913e-4,291.04,24.546,0.0076206,3.5919e-5,302.01,287.89,0.52278,0.13119,1315501,36.876,0.27374,0.43722,0.46982,0.31361,0.0013782,0.12224,0.71262,0.37213,-4.953e-4,0,0,0,0,3.9769e-4,4.9677e-4,27,5.7256e-4,89.148,0.0045215,NaN,5.1955,844.71,334.45,0.05,0.0092646
0.44125,10.709,49.414,11.677,49.414,11.678,0.071412,1.1842e-6,0.071412,9.5015e-4,0.26296,0.096357,40,-100,0.99902,4.8876,2.8816e-7,7.4337,-7.7816e-4,290.12,23.625,0.0075933,3.5852e-5,303.05,287.36,0.58126,0.14858,1489542,36.411,0.34679,0.43784,0.46417,0.31345,0.0015175,0.12287,0.60808,0.35226,4.9814e-4,0,0,0,0,6.9723e-4,5.6296e-4,27,5.7256e-4,88.84,0.0035983,NaN,5.1804,844.48,334.44,0.05,0.0095106
0.49125,13.323,55.149,11.525,55.15,11.527,0.086127,2.4808e-6,0.086127,0.0016504,0.33455,0.20013,40,-100,0.99902,3.8876,0,10.279,-6.056e-4,289.21,22.708,0.007566,3.5786e-5,304.83,286.82,0.66717,0.16567,1660458,35.946,0.42344,0.43853,0.45602,0.31329,0.0016725,0.12357,0.45633,0.30332,-1.4974e-4,0,0,0,0,0.0010723,6.283e-4,27,5.7256e-4,88.398,0.0042717,NaN,5.1634,844.21,334.43,0.05,0.0097851
0.54125,16.222,60.809,11.367,60.81,11.373,0.10588,4.5434e-6,0.10588,0.0024585,0.46792,0.34375,40,-100,0.99902,2.9069,-1.2223e-6,13.175,-0.0010375,288.29,21.791,0.0075385,3.572e-5,306.81,286.28,0.76068,0.18256,1829278,35.48,0.50669,0.43928,0.44952,0.3131,0.0018437,0.12433,0.32112,0.24287,8.4776e-5,0,0,0,0,0.0014509,6.9279e-4,27,5.7256e-4,87.812,0.0038471,NaN,5.1446,843.92,334.42,0.05,0.0099824
0.59125,19.402,66.389,11.203,66.393,11.215,0.13425,7.6984e-6,0.13425,0.0032854,0.68293,0.53137,40,-100,0.99902,1.8179,-1.6189e-6,15.767,-0.0048963,287.37,20.874,0.0075108,3.5654e-5,309.34,285.73,0.87449,0.19921,1995575,35.015,0.59611,0.44009,0.4443,0.3129,0.0020304,0.12516,0.18683,0.16157,-4.1326e-5,0,0,0,0,0.0017452,7.564e-4,27,5.7256e-4,87.086,0.0051542,NaN,5.1239,843.6,334.4,0.05,0.01017
0.64125,22.859,71.887,11.03,71.894,11.054,0.17576,1.2657e-5,0.17576,0.0041258,0.99434,0.72871,40,-100,0.99902,1.09,-2.1249e-6,17.718,-0.00638,286.46,19.957,0.0074829,3.5588e-5,311.28,285.18,0.96661,0.21575,2160606,34.549,0.69615,0.44097,0.44253,0.31269,0.002234,0.12605,0.10641,0.10096,-2.2078e-4,0,0,0,0,0.0018789,8.1911e-4,27,5.7256e-4,86.246,0.0061674,NaN,5.1014,843.25,334.39,0.05,0.010458
0.69125,26.588,77.298,10.847,77.311,10.89,0.23541,2.0286e-5,0.23541,0.0049374,1.412,0.96532,40,-100,0.99902,0.024388,-2.3123e-6,18.647,-0.19975,285.54,19.04,0.0074549,3.5522e-5,314.5,284.63,1.1066,0.23195,2322048,34.084,0.8031,0.4419,0.4419,0.31246,0.0024513,0.12699,0.002197,5.5414e-4,-4.2671e-4,0,0,0,0,0.0018008,8.8086e-4,27,5.7256e-4,85.33,0.0048544,NaN,5.0772,842.87,334.38,0.05,0.010767
0.74125,30.586,82.617,10.654,82.64,10.721,0.31888,3.0613e-5,0.31888,0.0055004,1.947,1.1969,40,-100,0.99901,0.80902,-1.7596e-6,-17.746,-0.0073379,284.62,18.123,0.0074267,3.5456e-5,312.17,284.07,1.0408,0.24795,2481344,33.619,0.92116,0.44289,0.44377,0.31222,0.002684,0.12799,0.077423,0.082239,-7.5997e-5,0,0,0,0,-0.0014273,9.4165e-4,27,5.7256e-4,84.413,0.0028559,NaN,5.0512,842.46,334.36,0.05,0.010966
0.79125,34.848,87.839,10.453,87.877,10.549,0.43193,4.3011e-5,0.43193,0.0057055,2.5945,1.4205,40,-100,0.99901,1.5672,1.7897e-6,-14.922,-0.0042078,283.7,17.206,0.0073983,3.539e-5,310.18,283.51,0.9876,0.26366,2637562,33.153,1.0489,0.44393,0.44712,0.31196,0.0029305,0.12904,0.15848,0.15747,-4.5466e-4,0,0,0,0,-8.9262e-4,0.0010014,27,5.7256e-4,83.588,7.412e-4,NaN,5.0235,842.03,334.34,0.05,0.011157
0.84125,39.368,92.961,10.249,93.021,10.374,0.58,5.655e-5,0.58,0.0055863,3.3449,1.607,40,-100,0.99901,2.1728,-5.3272e-6,-9.9143,-0.0012488,282.79,16.289,0.0073697,3.5324e-5,308.75,282.95,0.9555,0.27906,2790478,32.766,1.1846,0.44502,0.451,0.3117,0.00319,0.13012,0.22914,0.21901,-9.6009e-5,0,0,0,0,-3.5179e-4,0.0010602,27,5.7256e-4,82.958,-4.4805e-4,NaN,4.9941,841.58,334.33,0.033126,0.011345
0.87438,42.503,96.299,10.152,96.377,10.29,0.69965,6.5334e-5,0.69965,0.0053504,3.8839,1.6825,40,-100,0.99901,2.3307,-7.5469e-6,-5.502,-4.7784e-4,282.03,15.527,0.0073458,3.5269e-5,308.42,282.48,0.96076,0.28914,2890389,32.481,1.2757,0.44576,0.45261,0.31152,0.0033696,0.13087,0.24847,0.23895,4.6202e-4,0,0,0,0,-1.0094e-4,0.0010986,27,5.7256e-4,82.701,-6.1852e-4,NaN,4.9737,841.26,334.31,0.028202,0.011534
0.90258,45.258,99.109,10.056,99.205,10.199,0.81581,7.2702e-5,0.81581,0.005106,4.355,1.7021,40,-100,0.99901,2.3091,-6.0634e-6,-1.3252,0.0015214,281.46,14.965,0.0073281,3.5229e-5,308.5,282.13,0.97679,0.29764,2974633,32.227,1.353,0.44641,0.45315,0.31136,0.0035275,0.13152,0.24585,0.24018,3.5245e-4,0,0,0,0,-5.526e-6,0.0011309,27,5.7256e-4,82.604,-7.7319e-4,NaN,4.9558,840.98,334.3,0.026423,0.011759
0.929,47.911,101.72,9.9671,101.83,10.106,0.9367,7.9587e-5,0.9367,0.0048682,4.7946,1.6714,40,-100,0.99901,2.09,-5.5033e-6,2.652,-0.0017228,280.96,14.464,0.0073123,3.5193e-5,309.05,281.81,1.0086,0.30558,3053231,31.977,1.424,0.44703,0.45262,0.31121,0.0036802,0.13214,0.21932,0.22089,-4.4441e-4,0,0,0,0,2.0998e-5,0.001161,27,5.7256e-4,82.622,-7.4135e-4,NaN,4.9386,840.71,334.29,0.027206,0.011958
0.95621,50.715,104.38,9.8749,104.51,10.004,1.0732,8.6686e-5,1.0732,0.0046282,5.2341,1.6038,40,-100,0.99901,1.7719,-5.639e-6,6.5215,-3.5157e-4,280.47,13.972,0.0072967,3.5157e-5,309.86,281.51,1.0501,0.31368,3133397,31.712,1.4972,0.44769,0.45176,0.31106,0.0038415,0.13279,0.18197,0.19134,-1.0768e-4,0,0,0,0,1.2051e-4,0.0011917,27,5.7256e-4,82.747,-7.8825e-4,NaN,4.9204,840.43,334.28,0.029754,0.012157
0.98596,53.863,107.26,9.7747,107.41,9.8879,1.2357,9.4466e-5,1.2357,0.0043801,5.6886,1.492,40,-100,0.99901,1.328,-4.782e-6,10.177,0.0012143,279.95,13.45,0.0072801,3.512e-5,311.04,281.18,1.1061,0.32246,3220204,31.402,1.578,0.44842,0.45076,0.31088,0.0040225,0.13352,0.13223,0.14587,4.0073e-4,0,0,0,0,2.7774e-4,0.0012249,27,5.7256e-4,82.997,-5.1681e-4,NaN,4.8999,840.11,334.27,0.03686,0.012417
1.0228,57.882,110.79,9.6431,110.97,9.7338,1.455,1.0431e-4,1.455,0.0041074,6.2009,1.3262,40,-100,0.99901,0.78512,-7.7682e-6,13.46,9.9676e-4,279.34,12.839,0.0072606,3.5076e-5,312.6,280.79,1.1781,0.33316,3325834,30.998,1.6815,0.44934,0.45018,0.31066,0.004252,0.13443,0.075174,0.088146,-8.7442e-5,0,0,0,0,4.5516e-4,0.0012656,27,5.7256e-4,83.437,3.7589e-4,NaN,4.8738,839.7,334.25,0.05,0.012646
1.0728,63.54,115.52,9.4535,115.72,9.5148,1.7804,1.1883e-4,1.7804,0.0038241,6.7949,1.078,40,-100,0.999,0.092784,-9.2178e-6,15.46,0.017838,278.54,12.043,0.007235,3.5018e-5,314.79,280.29,1.2779,0.34736,3465864,30.532,1.8286,0.45062,0.45063,0.31036,0.0045727,0.13569,0.0084311,0.0099972,-1.0422e-4,0,0,0,0,5.524e-4,0.0013199,27,5.7256e-4,84.173,0.0021232,NaN,4.837,839.13,334.23,0.05,0.012853
1.1228,69.432,120.16,9.2831,120.38,9.3193,2.1324,1.3617e-4,2.1324,0.0036588,7.2664,0.82067,40,-100,0.999,0.5918,-1.0176e-5,-14.166,0.0022178,277.62,11.126,0.0072054,3.4952e-5,313.32,279.7,1.2449,0.3613,3602992,30.067,1.9846,0.45192,0.4524,0.31005,0.0049054,0.13697,0.055903,0.070106,-1.2025e-4,0,0,0,0,-4.2878e-4,0.0013732,27,5.7256e-4,84.929,0.0096839,NaN,4.7987,838.53,334.21,0.05,0.013043
1.1728,75.554,124.72,9.102,124.95,9.1215,2.5048,1.6105e-4,2.5048,0.0036839,7.6136,0.59567,40,-100,0.999,1.132,-9.4187e-6,-8.9071,-0.0039344,276.71,10.209,0.0071756,3.4886e-5,311.84,279.11,1.212,0.37499,3737451,29.699,2.1485,0.45326,0.45499,0.30973,0.0052507,0.13828,0.11133,0.13547,2.9415e-5,0,0,0,0,-1.5739e-4,0.0014253,27,5.7256e-4,85.52,0.018369,NaN,4.7589,837.91,334.18,0.029005,0.01324
1.2018,79.209,127.31,9.0346,127.55,9.0495,2.728,1.8113e-4,2.728,0.0038042,7.7727,0.51994,40,-100,0.999,1.2715,-1.3364e-5,-4.4809,-0.00554,275.98,9.4844,0.0071519,3.4834e-5,311.5,278.65,1.2168,0.38279,3813885,29.45,2.2438,0.45405,0.45622,0.30954,0.0054557,0.13905,0.12634,0.15336,-3.152e-4,0,0,0,0,-3.8229e-5,0.001455,27,5.7256e-4,85.716,0.023556,NaN,4.7351,837.54,334.17,0.024517,0.013428
1.2263,82.357,129.49,8.9479,129.73,8.9611,2.9201,2.0222e-4,2.9201,0.0039678,7.8939,0.48708,40,-100,0.999,1.3093,-1.5279e-5,-0.2716,-0.0092167,275.49,8.9936,0.0071358,3.4799e-5,311.43,278.33,1.2261,0.38932,3877906,29.231,2.3243,0.45472,0.45703,0.30939,0.0056324,0.1397,0.13048,0.16037,-6.7588e-5,0,0,0,0,-1.3578e-7,0.0014798,27,5.7256e-4,85.775,0.026861,NaN,4.7147,837.22,334.16,0.022622,0.013616
1.249,85.308,131.47,8.8612,131.72,8.8748,3.0999,2.2543e-4,3.0999,0.0041667,8.0025,0.4919,40,-100,0.999,1.2506,-1.5751e-5,3.7488,-0.0098433,275.06,8.5614,0.0071216,3.4768e-5,311.63,278.05,1.2437,0.39529,3936321,29.019,2.3976,0.45535,0.45746,0.30924,0.0057978,0.14031,0.12413,0.15444,-4.7523e-4,0,0,0,0,2.5094e-5,0.0015025,27,5.7256e-4,85.736,0.028553,NaN,4.6955,836.93,334.14,0.022749,0.013803
1.2717,88.322,133.45,8.7672,133.7,8.7839,3.2832,2.526e-4,3.2832,0.0044081,8.118,0.54225,40,-100,0.999,1.0507,-1.7514e-5,7.5402,-0.0064201,274.64,8.1454,0.0071078,3.4738e-5,312.21,277.78,1.2754,0.4012,3994066,28.793,2.469,0.45598,0.45748,0.30909,0.0059653,0.14093,0.10282,0.13137,-2.8541e-4,0,0,0,0,9.8561e-5,0.0015251,27,5.7256e-4,85.606,0.027207,NaN,4.6759,836.62,334.13,0.025921,0.013993
1.2976,91.81,135.68,8.6507,135.93,8.674,3.4955,2.8809e-4,3.4955,0.0047221,8.2679,0.63486,40,-100,0.999,0.73526,-1.5622e-5,11.049,-0.0069779,274.2,7.6991,0.0070931,3.4706e-5,313.16,277.48,1.3212,0.40786,4059088,28.506,2.5504,0.45671,0.45745,0.30892,0.0061587,0.14163,0.070322,0.092249,-1.8005e-4,0,0,0,0,2.0481e-4,0.0015506,27,5.7256e-4,85.363,0.023186,NaN,4.6532,836.27,334.12,0.03566,0.01418
1.3333,96.702,138.69,8.4742,138.95,8.5108,3.7946,3.4354e-4,3.7946,0.0051871,8.5179,0.78889,40,-100,0.99899,0.2642,-1.2981e-5,13.88,-0.011914,273.63,7.1344,0.0070743,3.4665e-5,314.65,277.11,1.3903,0.41694,4147592,28.108,2.6658,0.45772,0.45781,0.30869,0.0064303,0.1426,0.024393,0.033223,-4.1308e-4,0,0,0,0,3.0929e-4,0.0015851,27,5.7256e-4,84.911,0.014198,NaN,4.6214,835.77,334.1,0.05,0.014368
1.3833,103.74,142.83,8.2159,143.11,8.2792,4.2312,4.2845e-4,4.2312,0.0058016,8.9664,1.022,40,-100,0.99899,0.41412,-1.5666e-5,-13.122,-1.4693e-4,272.85,6.349,0.007048,3.4608e-5,314.26,276.59,1.3951,0.42942,4269005,27.642,2.835,0.45915,0.45939,0.30835,0.0068196,0.14397,0.038696,0.053818,-3.34e-4,0,0,0,0,-2.6063e-4,0.0016326,27,5.7256e-4,84.213,8.1914e-4,NaN,4.5757,835.06,334.07,0.05,0.014574
